Event	ID	Name			Wwise Object Path	Notes
	78360149	Stinger			\Default Work Unit\Stinger	
	85354592	AatroxHeavySlash			\Default Work Unit\AatroxHeavySlash	
	615573799	StingerStart			\Default Work Unit\StingerStart	
	815195140	AatroxChargeShot			\Default Work Unit\AatroxChargeShot	
	1179606491	AatroxFlurryEnd			\Default Work Unit\AatroxFlurryEnd	
	1251923255	ShadowStep			\Default Work Unit\ShadowStep	
	1348282341	DarkFlightDive			\Default Work Unit\DarkFlightDive	
	1536966621	DarkFlightStart			\Default Work Unit\DarkFlightStart	
	1556072704	AatroxFlurryStart			\Default Work Unit\AatroxFlurryStart	
	1586250677	DarkFlightImpact			\Default Work Unit\DarkFlightImpact	
	1627088512	AatroxSwapSword			\Default Work Unit\AatroxSwapSword	
	1748799039	AatroxSwordSwing			\Default Work Unit\AatroxSwordSwing	
	1803537559	AatroxDownslash			\Default Work Unit\AatroxDownslash	
	1837441485	AatroxRainstorm			\Default Work Unit\AatroxRainstorm	
	1911371405	AatroxStabbed			\Default Work Unit\AatroxStabbed	
	1949956469	AatroxSwapGun			\Default Work Unit\AatroxSwapGun	
	2210989100	PriceToggle			\Default Work Unit\PriceToggle	
	2797714847	AatroxLightSlash			\Default Work Unit\AatroxLightSlash	
	2884538902	AatroxGunshot			\Default Work Unit\AatroxGunshot	
	2960115348	MassacreCancel			\Default Work Unit\MassacreCancel	
	3140993980	AatroxUppercut			\Default Work Unit\AatroxUppercut	
	3497990890	BladesOfTorment			\Default Work Unit\BladesOfTorment	
	3870480863	MassacreCast			\Default Work Unit\MassacreCast	
	3876777168	AatroxBigHeal			\Default Work Unit\AatroxBigHeal	
	3903194821	ThirstToggle			\Default Work Unit\ThirstToggle	
	4088750100	MassacreLoop			\Default Work Unit\MassacreLoop	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	16640339	DarkFlightImpact3	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\DarkFlightImpact3_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\DarkFlightImpact\DarkFlightImpact3		0
	17341425	AatroxLightSlash3	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\AatroxLightSlash3_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\LightSlash\AatroxLightSlash3		0
	22591869	Stinger	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\Stinger_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\Stinger		0
	26782254	Massacre1	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\Massacre1_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\Massacre\Massacre1		0
	63566436	BigHeal1	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\BigHeal1_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\BigHeal\BigHeal1		0
	114737498	DTEnd	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\DTEnd_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\DTEnd		0
	213257725	AatroxHeavySlash4	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\AatroxHeavySlash4_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\HeavySlash\AatroxHeavySlash4		0
	239713227	ShadowStep	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\ShadowStep_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\ShadowStep		0
	280825185	AatroxSwing2	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\AatroxSwing2_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\Swing\AatroxSwing2		0
	311161037	PriceToggle	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\PriceToggle_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\PriceToggle		0
	313152391	DarkFlightImpact1	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\DarkFlightImpact1_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\DarkFlightImpact\DarkFlightImpact1		0
	322750236	ThirstToggle	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\ThirstToggle_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\ThirstToggle		0
	328690934	AatroxSwing3	C:\Users\lucky\Desktop\Aatrox\.cache\Windows\SFX\AatroxSwing3_27283788.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\AatroxSFX\Swing\AatroxSwing3		0
